Lexeme          CurrentNode          LineNo     TokenName            ValueIfNumber        ParentNode           Leaf       NodeSymbol          
---------------------------------------------------------------------------------------------------------------
2.35            TK_RNUM              12         TK_RNUM              2.35                 var                  yes        TK_RNUM             
----            termPrime            -1         termPrime                                 term                 no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  expPrime             no         expPrime            
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             expPrime             yes        UNKNOWN_TOKEN       
missing         TK_SEM               0          TK_SEM                                    assignmentStmt       yes        TK_SEM              
                otherStmts           -1         otherStmts                                otherStmts           yes        otherStmts          
                returnStmt           -1         returnStmt                                stmts                yes        returnStmt          
end             TK_END               20         TK_END                                    function             yes        TK_END              
----            otherFunctions       -1         otherFunctions                            otherFunctions       no         otherFunctions      
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             otherFunctions       yes        UNKNOWN_TOKEN       
----            mainFunction         -1         mainFunction                              program              no         mainFunction        
_main           TK_MAIN              24         TK_MAIN                                   mainFunction         yes        TK_MAIN             
----            stmts                -1         stmts                                     mainFunction         no         stmts               
----            typeDefinitions      -1         typeDefinitions                           stmts                no         typeDefinitions     
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             typeDefinitions      yes        UNKNOWN_TOKEN       
----            declarations         -1         declarations                              stmts                no         declarations        
----            declaration          -1         declaration                               declarations         no         declaration         
type            TK_TYPE              25         TK_TYPE                                   declaration          yes        TK_TYPE             
----            dataType             -1         dataType                                  declaration          no         dataType            
----            primitiveDatatype    -1         primitiveDatatype                         dataType             no         primitiveDatatype   
int             TK_INT               25         TK_INT                                    primitiveDatatype    yes        TK_INT              
missing         TK_COLON             0          TK_COLON                                  declaration          yes        TK_COLON            
missing         TK_ID                0          TK_ID                                     declaration          yes        TK_ID               
                global_or_not        -1         global_or_not                             declaration          yes        global_or_not       
;               TK_SEM               26         TK_SEM                                    declaration          yes        TK_SEM              
----            declarations         -1         declarations                              declarations         no         declarations        
----            declaration          -1         declaration                               declarations         no         declaration         
type            TK_TYPE              27         TK_TYPE                                   declaration          yes        TK_TYPE             
----            dataType             -1         dataType                                  declaration          no         dataType            
----            primitiveDatatype    -1         primitiveDatatype                         dataType             no         primitiveDatatype   
int             TK_INT               27         TK_INT                                    primitiveDatatype    yes        TK_INT              
:               TK_COLON             27         TK_COLON                                  declaration          yes        TK_COLON            
b3b444          TK_ID                27         TK_ID                                     declaration          yes        TK_ID               
----            global_or_not        -1         global_or_not                             declaration          no         global_or_not       
:               TK_COLON             27         TK_COLON                                  global_or_not        yes        TK_COLON            
global          TK_GLOBAL            27         TK_GLOBAL                                 global_or_not        yes        TK_GLOBAL           
;               TK_SEM               27         TK_SEM                                    declaration          yes        TK_SEM              
----            declarations         -1         declarations                              declarations         no         declarations        
----            declaration          -1         declaration                               declarations         no         declaration         
type            TK_TYPE              28         TK_TYPE                                   declaration          yes        TK_TYPE             
                dataType             -1         dataType                                  declaration          yes        dataType            
missing         TK_COLON             0          TK_COLON                                  declaration          yes        TK_COLON            
missing         TK_ID                0          TK_ID                                     declaration          yes        TK_ID               
